Title,First air date,End date,Rating,Genres,Status,Network or Channel,Summary,Tvmaze Link
Bad Blood,2017-09-21,2018-11-29,7.7,"Crime, Drama",Ended,Citytv,"Bad Blood is a story of family, loyalty, deceit, power, greed, and ultimately revenge. Montreal Mafia boss Vito Rizzuto is a criminal anomaly. Determined to bring peace to the disparate wings of the Montreal crime world of the day, Rizzuto successfully unifies them, serving as a de facto CEO while ensuring a lucrative payday for all. When Rizzuto is suddenly arrested and extradited to Colorado's Supermax Prison for the 1981 murders of three Bonanno crime family members, the powerful empire he built begins to crumble. Rizzuto watches helplessly until his release from prison in October 2012, when a Shakespearean tale of revenge begins to unfold.",https://www.tvmaze.com/shows/28985/bad-blood
Xena: Warrior Princess,1995-09-04,2001-06-25,7.7,"Action, Adventure, Fantasy",Ended,Syndication,"""In a time of ancient gods, warlords, and kings, a land in turmoil cried out for a hero. She was Xena, a mighty princess, forged in the heat of battle. The power... the passion... the danger... Her courage will change the world"".This spin-off from Hercules: The Legendary Journeys (1995), Xena is a feisty and fearless warrior princess who fights everything evil along with her sidekick Gabrielle in Xena: Warrior Princess.",https://www.tvmaze.com/shows/437/xena-warrior-princess
Beauty & the Beast,2012-10-11,2016-09-15,7.4,"Action, Romance, Science-Fiction",Ended,The CW,"Detective Catherine Chandler is a smart, no-nonsense homicide detective. When she was a teenager, she witnessed the murder of her mother at the hands of two gunmen and herself was saved by someone – or something. Years have passed and while investigating a murder, Catherine discovers a clue that leads her to Vincent Keller, who was reportedly killed in 2002. Catherine learns that Vincent is actually still alive and that it was he who saved her many years before. For mysterious reasons that have forced him to live outside of traditional society, Vincent has been in hiding for the past 10 years to guard his secret – when he is enraged, he becomes a terrifying beast, unable to control his super-strength and heightened senses.",https://www.tvmaze.com/shows/155/beauty-the-beast
Girlfriends' Guide to Divorce,2014-12-02,2018-07-19,7.5,"Comedy, Drama, Romance",Ended,Bravo,"Girlfriends' Guide to Divorce follows Abby McCarthy, a self-help book author and guru of all things family, who shocks the world when she reveals that her seemingly perfect life has all been a lie. After publicly admitting that she has separated from her husband, Jake, America's once-favorite girlfriend finds her career and marriage in a free fall. As she starts to navigate life as a single woman in her 40s, Abby turns to her new divorced friends, rather than her married ones, for advice. Her friend Lyla is a legendary no-nonsense entertainment lawyer who is in a constant 'War of the Roses' battle with her ex-husband, and Phoebe is a former model and budding entrepreneur who has a very unique relationship with her ex. Meanwhile, a rival attorney at Lyla's firm, Delia, is hired as Abby's divorce attorney.Inspired by the ""Girlfriends' Guide"" book series by Vicki Iovine.",https://www.tvmaze.com/shows/637/girlfriends-guide-to-divorce
Criminal,,,,"Crime, Drama",In Development,Prime Video,"Based on the multi-Eisner Award-winning graphic novel series created by Ed Brubaker and Sean Phillips, Criminal tells the interweaving saga of several generations of families tied together by the crimes and murders of the past.",https://www.tvmaze.com/shows/73877/criminal
My Kitchen Rules,2013-01-28,2025-10-28,7.7,Food,Running,Seven Network,"Channel Seven is heading back to the kitchen - from the makers of the successful cooking series My Restaurant Rules comes a new show – My Kitchen Rules! This series will travel the country to find Australia's best home-cooking team. In a unique twist, the teams-of-two in My Kitchen Rules will do battle from their own kitchens in each State.The aspiring foodies will have to cook up their culinary tricks, quirks and use local ingredients to impress the judges – whose city will rule in the kitchen? The home chefs will also have to transform their home into an instant restaurant for one pressure-cooker night. The competing teams will have to work against the clock to deliver a winning dining experience. Are you passionate about cooking and entertaining? Does YOUR Kitchen Rule?",https://www.tvmaze.com/shows/7414/my-kitchen-rules
Altered Carbon,2018-01-31,2020-03-19,8,"Crime, Drama, Science-Fiction",Ended,Netflix,"Altered Carbon is set in the 25th century when the human mind has been digitized and the soul itself is transferable from one body to the next. Takeshi Kovacs, a former elite interstellar warrior known as an Envoy who has been imprisoned for 250 years, is downloaded into a future he'd tried to stop. If he can solve a single murder in a world where technology has made death nearly obsolete, he'll get a chance at a new life on Earth.",https://www.tvmaze.com/shows/12036/altered-carbon
Miss Fisher's Murder Mysteries,2012-02-24,2015-08-06,8,"Crime, Drama",Ended,ABC,"Our glamorous lady detective, The Honourable Miss Phryne Fisher, swans into early 1929 Melbourne, fighting injustice with her pearl-handled pistol and her dagger-sharp wit.",https://www.tvmaze.com/shows/2002/miss-fishers-murder-mysteries
Gachiakuta,2025-07-06,2025-11-23,,"Action, Anime, Fantasy",Running,TBS,"In a floating city where the rich discard their waste—and people—Rudo is framed for murder and thrown into the Pit, where a hellscape of mutated garbage beasts dwell. To survive, he must wield a new power and join the rogue Cleaners. Rudo doesn't just aim to battle monsters, but the corrupt who cast him into Hell.",https://www.tvmaze.com/shows/81834/gachiakuta
Little Fires Everywhere,2020-03-18,2020-04-22,7.9,"Drama, Family, Legal",Ended,Hulu,"Little Fires Everywhere follows the intertwined fates of the picture-perfect Richardson family and an enigmatic mother and daughter who upend their lives. The story explores the weight of secrets, the nature of art and identity, the ferocious pull of motherhood – and the danger in believing that following the rules can avert disaster.",https://www.tvmaze.com/shows/35319/little-fires-everywhere
The L Word: Generation Q,2019-12-08,2023-01-20,6.1,"Drama, Romance",Ended,Showtime on Demand,"A sequel to The L Word, Generation Q follows Bette Porter, Shane McCutcheon and Alice Pieszecki alongside a new generation of diverse, self-possessed LGBTQIA characters experiencing love, heartbreak, sex, setbacks and success in L.A.",https://www.tvmaze.com/shows/42287/the-l-word-generation-q
The Doll Factory,2023-11-27,2023-12-01,6,Thriller,Ended,Paramount+,"Set in London in 1850, The Doll Factory tells the story of Iris, who paints dolls for a living alongside her twin sister, Rose, and dreams of becoming an artist and by night secretly paints herself naked. Silas is a taxidermist who owns a shop filled with his creations. He dreams of one day finding an item so unique he will be catapulted to fame. Louis is a painter and member of the Pre-Raphaelite Brotherhood, searching for his next muse. When Iris meets Silas, and then Louis, she is offered an opportunity to escape and start a new life. To do so, she must abandon her sister, sacrifice her reputation, and launch herself into the unknown. But as Iris' world expands, a story of dark obsession begins to unfold.",https://www.tvmaze.com/shows/63205/the-doll-factory
Transparent,2014-02-06,2019-09-27,7.3,"Comedy, Drama",Ended,Prime Video,"In Transparent, an LA family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out.",https://www.tvmaze.com/shows/120/transparent
Lovecraft Country,2020-08-16,2020-10-26,6.5,"Drama, Horror, Mystery",Ended,HBO,Lovecraft Country follows Atticus Freeman as he meets up with his friend Letitia and his Uncle George to embark on a road trip across 1950s Jim Crow America in search of his missing father. This begins a struggle to survive and overcome both the racist terrors of white America and the terrifying monsters that could be ripped from a Lovecraft paperback.,https://www.tvmaze.com/shows/28893/lovecraft-country
Motorheads,2025-05-20,2025-05-20,7,"Action, Drama",Ended,Prime Video,"Motorheads is about first love, first heartbreak, and turning the key in your first car. Set in a once-thriving rust-belt town that's now searching for a glimmer of hope, the series is an adrenaline-filled story of a group of outsiders who form an unlikely friendship over a mutual love of street racing, while navigating the hierarchy and rules of high school.",https://www.tvmaze.com/shows/72864/motorheads
New Amsterdam,2018-09-25,2023-01-17,7.5,"Drama, Medical",Ended,NBC,"Inspired by Bellevue, the oldest public hospital in America, New Amsterdam follows the brilliant and charming Dr. Max Goodwin, the institution's newest medical director, who sets out to tear up the bureaucracy and provide exceptional care. How can he help? Well, the doctors and staff have heard this before. Not taking ""no"" for an answer, Dr. Goodwin must disrupt the status quo and prove he will stop at nothing to breathe new life into this understaffed, underfunded and underappreciated hospital - the only one in the world capable of treating Ebola patients, prisoners from Rikers and the president of the United States under one roof - and return it to the glory that put it on the map.",https://www.tvmaze.com/shows/32291/new-amsterdam
We Were Liars,2025-06-18,2025-06-18,5.5,Thriller,Running,Prime Video,"One year after a mysterious accident left her with amnesia, 17-year-old Cadence returns to Beechwood, an island off Martha's Vineyard, seeking answers. As three generations of the distinguished Sinclair family gather at their private summer utopia, no one will talk about the accident – neither her childhood friends ""The Liars"" nor her first love Gat, forcing her to uncover the truth herself.",https://www.tvmaze.com/shows/67627/we-were-liars
Chainsaw Man,2022-10-11,2022-12-27,7.8,"Anime, Horror, Supernatural",Running,TV Tokyo,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash. Unfortunately, he has outlived his usefulness and is murdered by a devil in contract with the yakuza. However, in an unexpected turn of events, Pochita merges with Denji's dead body and grants him the powers of a chainsaw devil. Now able to transform parts of his body into chainsaws, a revived Denji uses his new abilities to quickly and brutally dispatch his enemies. Catching the eye of the official devil hunters who arrive at the scene, he is offered work at the Public Safety Bureau as one of them. Now with the means to face even the toughest of enemies, Denji will stop at nothing to achieve his simple teenage dreams.",https://www.tvmaze.com/shows/63451/chainsaw-man
Willow,2022-11-30,2023-01-25,6.4,"Adventure, Fantasy",Ended,Disney+,"The series takes place years after the events of the original film. It introduces all-new characters to the enchanted realm of fairy queens and two-headed Eborsisk monsters, and welcomes back its namesake hero, Willow Ufgood.",https://www.tvmaze.com/shows/51419/willow
Sweet Tooth,2021-06-04,2024-06-06,7.6,"Adventure, Drama, Fantasy",Ended,Netflix,"On an epic adventure across a postapocalyptic world, a lovable boy who's part human and part deer searches for family and home with a gruff protector.",https://www.tvmaze.com/shows/39764/sweet-tooth
Two and a Half Men,2003-09-22,2015-02-19,6.7,Comedy,Ended,CBS,"Charlie is a well-to-do bachelor with a house at the beach, a Jaguar in the front, and an easy way with women. His casual Malibu lifestyle is interrupted when his tightly wound brother Alan, who's facing a divorce, and his son Jake, come to live with him. Together, these two and a half men confront the challenges of growing up; finally. Complicating matters are the brothers' self-obsessed, controlling mother, Evelyn, Alan's estranged wife, Judith and Charlie's crazy neighbor Rose, who wants to be a part of his life and is willing to do anything to be around. After the death of his brother, Alan Harper meets and befriends a lonely young man named Walden Schmidt who turns out to be a billionaire. Unable to afford his brother's home, Alan sells Walden the house, and as a way of showing his gratitude, Walden allows Alan and his son Jake to move in with him.",https://www.tvmaze.com/shows/130/two-and-a-half-men
Death Valley,2025-05-25,2025-05-25,6.3,"Comedy, Crime, Drama",Running,BBC iPlayer,"Death Valley follows the unlikely crime-solving partnership between eccentric national treasure John Chapel, a retired actor and star of hit fictional detective TV show ‘Caesar', and disarming Welsh detective sergeant Janie Mallowan.Thrown together by the murder of John's neighbour, John and Janie are an odd, yet hilarious duo with opposing instincts. Every week, they get to the bottom of gripping murders, with various stunning Welsh locations providing a backdrop to their investigations.",https://www.tvmaze.com/shows/84670/death-valley
Harlan Coben's Shelter,2023-08-18,2023-09-22,6.8,"Drama, Mystery, Thriller",Ended,Prime Video,"Harlan Coben's Shelter follows the story of Mickey Bolitar after the sudden death of his father leads him to start a new life in Kasselton, New Jersey. Mickey quickly finds himself tangled in the mysterious disappearance of a new student at his school, Ashley Kent, which leads to uncovering unimaginable secrets within their quiet suburban community. With the help of his friends - the inventive Spoon and the secretive Ema - Mickey pulls back the sleepy façade of Kasselton to reveal a dark underground that may hold the answers to decades of disappearances, deaths, and legends... and perhaps even his own complex family history.",https://www.tvmaze.com/shows/61063/harlan-cobens-shelter
CSI: Vegas,2021-10-06,2024-05-19,7.4,"Crime, Drama",Ended,CBS,"With CSI: Vegas, the most watched drama series of the 21st century, CSI, opens a brand new chapter in Las Vegas, the city where it all began. Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City.",https://www.tvmaze.com/shows/50361/csi-vegas
Da Vinci's Demons,2013-04-12,2015-10-24,8,"Drama, Horror",Ended,Lionsgate+,"In a world where thought and faith are controlled, one man fights to set knowledge free. Leonardo da Vinci is tortured by a gift of superhuman genius. He finds himself in a conflict between truth and lies, religion and reason, past and future. His aspirations are used against him by opposing forces – luring him into a game of seduction where those who despise his intellect need him most.His quest for knowledge nearly becomes his undoing, but da Vinci's genius prevails and he emerges as an unstoppable force that lifts an entire era out of darkness and propels it into light. His story becomes a mirror into our own world, calling us all to join his fight to free the future.",https://www.tvmaze.com/shows/197/da-vincis-demons
Spy×Family,2022-04-09,2025-12-27,7.2,"Action, Anime, Comedy",Running,TV Tokyo,"Master spy Twilight is the best at what he does when it comes to going undercover on dangerous missions in the name of a better world. But when he receives the ultimate impossible assignment—get married and have a kid—he may finally be in over his head! Not one to depend on others, Twilight has his work cut out for him procuring both a wife and a child for his mission to infiltrate an elite private school. What he doesn't know is that the wife he's chosen is an assassin and the child he's adopted is a telepath!",https://www.tvmaze.com/shows/59698/spyfamily
SkyMed,2022-07-10,2025-03-02,6.7,"Drama, Medical, Romance",Running,Paramount+,"Life, death and drama at 20,000 feet, SkyMed weaves together intense character journeys and high-stakes medical rescues, as we follow the triumphs, heartbreaks and tribulations of budding nurses and pilots flying air ambulances in remote Northern Canada. They're all in over their heads, and on their own, with no one to rely on but each other.",https://www.tvmaze.com/shows/57682/skymed
Heroes,2006-09-25,2010-02-08,7.7,"Action, Drama, Science-Fiction",Ended,NBC,"This epic chronicles the lives of ordinary people who discover they possess extraordinary abilities. As a total eclipse casts a shadow across the globe, viewers follow a genetics professor in India whose father's disappearance leads him to uncover a secret theory—there are people with super powers living among us. A young dreamer tries to convince his politician brother that he can fly. A high school cheerleader learns that she is totally indestructible. A Las Vegas stripper, struggling to make ends meet to support her young son, uncovers that her mirror image has a secret. A prison inmate mysteriously finds himself waking up outside of his cell. A gifted artist, whose drug addiction is destroying his life and the relationship with his girlfriend, can paint the future. A down-on-his-luck beat cop can hear people's thoughts, including the secrets of a captured terrorist. In Japan, a young man develops a way to stop time through sheer will power. Their ultimate destiny is nothing less than saving the world.",https://www.tvmaze.com/shows/134/heroes
The Forsytes,2025-10-20,2025-10-27,,"Drama, History, Romance",Running,5,"The Forsytes chronicles the lives, loves, trials and triumphs of a wealthy late Victorian stockbroking family, whose generations are torn between the tradition and self-sacrifice versus personal happiness and the pursuit of love. Family stability is threatened by two chance encounters for rival cousins, Jolyon and Soames, throwing their previously steady lives into disarray.",https://www.tvmaze.com/shows/83209/the-forsytes
Doctor Odyssey,2024-09-26,2025-05-15,4.4,"Drama, Medical",Ended,ABC,"Max is the new on-board doctor for a luxury cruise ship where the staff works hard and plays harder. It's all hands on deck as Max and his small but mighty medical team navigate unique medical crises and each other, miles from shore.",https://www.tvmaze.com/shows/75508/doctor-odyssey
"I, Jack Wright",2025-04-23,2025-04-23,6.1,"Crime, Drama, Mystery",To Be Determined,U,"Jack Wright is a powerful and successful businessman, who leaves his family in disarray when they learn of his suicide. When the provisions of Jack's final will and testament are made known, his third wife, Sally, and two sons, Gray and John, are shocked to discover they have been largely cut out of Jack's enormous fortune. As DCI Morgan and DC Jones delve further into the case, they realise Jack's cause of death was in fact murder. Their sights turn to the Wright family, where the mother of all feuds is beginning. As each family member becomes more reckless and desperate in their bid to own a piece of Jack's legacy, dark secrets and resentments are revealed with explosive consequences.",https://www.tvmaze.com/shows/74677/i-jack-wright
Rescue: HI-Surf,2024-09-22,2025-03-31,7.3,"Action, Drama",Ended,FOX,"Rescue: HI-Surf is an action drama that follows the personal and professional lives of the heavy-water lifeguards who patrol and protect the North Shore of O‘ahu—the most famous and dangerous stretch of coastline in the world. Each episode features these dedicated, heroic, and adrenaline-seeking first-responders saving lives in the difficult and often life-threatening conditions of Hawaii's Seven Mile Miracle.",https://www.tvmaze.com/shows/68430/rescue-hi-surf
Reservation Dogs,2021-08-09,2023-09-27,7,"Comedy, Drama",Ended,Hulu,Reservation Dogs follows four Native teenagers in rural Oklahoma who spend their days committing crime... and fighting it.,https://www.tvmaze.com/shows/44909/reservation-dogs
DMZ,2022-03-17,2022-03-17,5.1,"Drama, Fantasy, Science-Fiction",Ended,HBO Max,"In the near future, a civil war leaves Manhattan a demilitarized zone (DMZ), destroyed and isolated from the rest of the world. DMZ chronicles the journey of a female medic who saves lives while desperately searching for her lost son. She has to contend with the gangs, militias, demagogues and warlords that control the lawless no man's land.",https://www.tvmaze.com/shows/44159/dmz
Sex Education,2019-01-11,2023-09-21,7.7,"Comedy, Drama, Romance",Ended,Netflix,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",https://www.tvmaze.com/shows/36795/sex-education
Harlan Coben's Safe,2018-05-10,2018-05-10,7.1,"Crime, Drama, Mystery",Ended,Netflix,"After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him.",https://www.tvmaze.com/shows/30346/harlan-cobens-safe
Almost Human,2013-11-17,2014-03-03,7.7,"Crime, Drama, Science-Fiction",Ended,FOX,"Almost Human is an action-packed police drama set 35 years in the future, when police officers are partnered with highly evolved human-like androids. The year is 2048. Meet John Kennex a cop who survived one of the most catastrophic attacks ever made against the police department. After waking up from a 17-month coma, he can't remember much - except that his partner was killed; his girlfriend, Anna Moore, left him after the attack; and he lost one of his legs and is now outfitted with a highly sophisticated synthetic appendage. Suffering from depression, mental atrophy, trauma-onset OCD, PTSD and the ""psychological rejection of his synthetic body part,"" John returns to work at the behest of longtime ally Captain Sandra Maldonado. By mandate, every cop must partner with a robot. And despite his passionate aversion to androids, John is paired up with a battle-ready MX-43. But he abruptly terminates his partnership after the robot discovers incriminating information about him. So technician Rudy Lom introduces John to Dorian, a discontinued android with unexpected emotional responses. Although such responses were deemed flaws, it is in these ""flaws"" that John relates to Dorian most. After all, John is part-machine now, and Dorian is part-human. John and Dorian's understanding of each other not only complements them, it connects them. As he adjusts to working with his new partner, John also must learn to get along with his new colleagues, including the eager and somewhat starstruck Detective Valerie Stahl and the distrustful Detective Richard Paul, who does not welcome John back with open arms. Almost Human will follow the week-to-week missions of John and Dorian, as they fight crime across this futuristic landscape, while the mysteries surrounding his attack and the larger mythology of this new world unfold.",https://www.tvmaze.com/shows/202/almost-human
The Traitors,2022-11-29,2025-01-24,8.2,,Running,BBC iPlayer,"Nail-biting psychological competition where 22 strangers play the ultimate reality game of detection, backstabbing and trust, in the hope of winning up to £120,000.",https://www.tvmaze.com/shows/58174/the-traitors
Extraordinary,2023-01-25,2024-03-06,6.8,"Comedy, Science-Fiction, Supernatural",Ended,Disney+,"Welcome to a world where everyone over the age of 18 develops a superpower. Everyone except for 25-year-old Jen, who feels like she's being left behind. Luckily, Jen's flatmates – Carrie, Kash, and a mysterious stray – keep her from falling into a well of self-pity. Adrift in a big, confusing world, and armed with nothing but a bit of hope and a lot of desperation, Jen begins her journey to find her maybe-superpower. But in doing so, she might discover the joy of being just kind of ok.",https://www.tvmaze.com/shows/54828/extraordinary
Van Der Valk,2020-04-26,2024-09-29,7.5,"Crime, Drama, Thriller",Running,NPO Start,"Van Der Valk follows a street smart and unapologetic Dutch detective as he navigates the lively and enigmatic city of Amsterdam, solving mysterious crimes using astute human observation and inspired detection.",https://www.tvmaze.com/shows/45978/van-der-valk
Funny Woman,2023-02-09,2024-09-06,7.5,"Comedy, Drama",To Be Determined,Now,"Blackpool beauty queen Barbara Parker arrives in London determined to find her calling. In an unexpected turn of events, she becomes the next comedy superstar.",https://www.tvmaze.com/shows/57325/funny-woman
Good Behavior,2016-11-15,2017-12-17,7.5,"Crime, Drama",Ended,TNT,"Good Behavior follows Letty Raines, a thief and con artist who is always one bad decision from implosion. Fresh out of prison, she's attempting to stay afloat. But when she overhears a hit man being hired to kill a man's wife, she sets out to derail the job, sending her on a wild collision course with the killer.Fresh out of prison, Letty tries to stay afloat and reunite with her 10-year-old son, who is currently being raised by her mother Estelle. Letty has to show up for mandatory check-ins with her parole officer Christian, whose motives for helping her are questionable. Chaos returns to Letty's life when she overhears a hitman being hired to kill a man's wife, and sets out to derail the job. She soon finds herself dangerously entangled with the killer.",https://www.tvmaze.com/shows/8797/good-behavior
Code of a Killer,2015-04-06,2015-04-13,7.6,"Crime, Drama",Ended,ITV1,Code of a Killer is based on the extraordinary true story of Alec Jeffreys' discovery of DNA fingerprinting and its first use by Detective Chief Superintendent David Baker in catching a double murderer. The drama focuses on how Jeffreys' science and Baker's investigative vision created the single biggest leap in the history of criminal investigation.,https://www.tvmaze.com/shows/2605/code-of-a-killer
X-Men,1992-10-31,1997-09-20,8,"Children, Science-Fiction",Ended,FOX,"With stories adapted directly from the original comic books, this show is a piece of Marvel history and a must-have for every X-Men fan. Discover the origins of your favorite characters and uncover the secrets of Magneto and more of the world's most diabolical villains in X-Men.Due to budget issues and issues with animation production deadlines not been met most episodes from Season 3 onwards aired out of production order, leading to some storylines not making any sense and creating plot holes, however this was somewhat rectified later with the DVD and streaming releases.",https://www.tvmaze.com/shows/472/x-men
After Life,2019-03-08,2022-01-14,7.8,"Comedy, Drama",Ended,Netflix,"After Life centers on Tony, who had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on. He thinks it's like a Super Power — not caring about himself or anyone else — but it turns out to be tricky when everyone is trying to save the nice guy they used to know.",https://www.tvmaze.com/shows/36673/after-life
Elkhorn,2024-04-11,2025-11-20,6.2,"Drama, History, Western",Running,insp,"Theodore Roosevelt is bound for greatness—he's a Harvard graduate from a prominent family, a rising politician, and his wife, Alice, is pregnant. Then his promising future turns tragic. His mother succumbs to typhoid, and Alice dies in childbirth on the same day. Devastated, Teddy leaves his urban world of high rises and high society for the desolate Dakota Territory, where, by facing the harsh reality of surviving life on America's frontier, he intends to remake himself into something greater.",https://www.tvmaze.com/shows/76155/elkhorn
The Afterparty,2022-01-28,2023-09-06,6.9,"Comedy, Crime, Mystery",Ended,Apple TV,"The Afterparty is a murder-mystery comedy set at a high school reunion afterparty. Each of the eight episodes will feature a retelling of the same night told through a different character's perspective, each with its own unique visual format and film genre to match the teller's personality.",https://www.tvmaze.com/shows/48888/the-afterparty
Spooks,2002-05-13,2011-10-23,8,"Drama, Espionage, Thriller",Ended,BBC One,"Tense drama series about the different challenges faced by the British Security Service as they work against the clock to safeguard the nation.A team of agents in the British security intelligence service work to protect the U.K. from terrorists and other threats to national security. A repackaged version of the BBC series ""Spooks,"" ""MI-5"" follows a counterterrorism unit based in the highly secure suite of offices called The Grid, where Harry Pearce oversees the team and deals with the often dirty politics of the spy game.",https://www.tvmaze.com/shows/657/spooks
Big Brother,2023-10-05,2025-11-02,6.8,,Running,ITV2,"Housemates live under 24-hour surveillance as they attempt to avoid eviction from the Big Brother house with the most unpopular housemates facing a public vote. The iconic house has had a fresh lick of paint and is ready to welcome a brand-new cast of housemates from all walks of life as they take up residence in the Big Brother house, so join hosts AJ Odudu and Will Best for all of the action from their first week there!",https://www.tvmaze.com/shows/71810/big-brother
Kingdom,2019-01-25,2021-07-23,7.9,"Fantasy, History, Horror",Ended,Netflix,"In a kingdom defeated by corruption and famine, a mysterious rumour of the king's death spreads as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil behind it all and save his people.",https://www.tvmaze.com/shows/26153/kingdom
Fixer to Fabulous,2019-10-22,2025-12-02,7,DIY,Running,HGTV,"Dave and Jenny Marrs embrace small-town America by renovating classic homes in and around their hometown of Bentonville, Arkansas. This resourceful and creative couple transforms historic houses in desperate need of an update and turns them into charming forever homes.",https://www.tvmaze.com/shows/44656/fixer-to-fabulous
Tell Me Lies,2022-09-07,2024-10-16,5.5,Drama,Running,Hulu,"Tell Me Lies, which was published in 2018, tells the story of a young woman's obsession with a man who's good at being charming. When Lucy Albright arrives on the campus of her small college, away from her mother whom she's never forgiven for an act of betrayal in her early teen years, Lucy embraces college life and all it has to offer. But everything changes when she meets Stephen DeMarco, who has a mysterious past of his own. Their addicting entanglement will have consequences they never could have imagined.",https://www.tvmaze.com/shows/50062/tell-me-lies
Torchwood,2006-10-22,2011-09-09,8.1,"Drama, Science-Fiction",Ended,STARZ,"Captain Jack Harkness is a man from the 51st century trapped in the past who leads the last remnants of the Torchwood Institute, a top secret British agency outside the government whose job it is to investigate alien goings on in the world, act in mankind's best interest, and, if needed, be the Earth's last line of defense.",https://www.tvmaze.com/shows/659/torchwood
The Real Housewives of New York City,2008-03-04,2025-02-04,5.5,,Running,Bravo,"The Real Housewives of New York City will feature an elite and powerful set of New York socialites as they juggle their careers and home lives with busy calendars packed with charity fund-raising galas, the social whirl of the Hamptons, and interviews for elite private schools. These driven and ambitious women show everyone what it takes to make it in the upper echelon of society, where money and status are an essential way of life.",https://www.tvmaze.com/shows/750/the-real-housewives-of-new-york-city
Anger Management,2012-06-28,2014-12-22,6.5,Comedy,Ended,FX,"In Anger Management, Charlie is a non-traditional therapist specializing in anger management. He has a successful private practice, holding sessions with his group of primary patients each week, as well as performing pro-bono counseling for an inmate group at a state prison.",https://www.tvmaze.com/shows/239/anger-management
Houdini & Doyle,2016-03-13,2016-05-12,7.9,"Crime, Drama, Mystery",Ended,ITV Encore,"Inspired by true events, the series follows two great men of the 20th Century and real-life friends - Harry Houdini, master magician, escape artist and paranormal debunker; and Arthur Cohen Doyle prolific writer, creator of ""Sherlock Holmes"" and paranormal aficionado. They grudgingly join forces with New Scotland Yard to investigate unsolved, inexplicable and possibly supernatural crimes, alongside the first female Constable of the London Metropolitan Police Force, Adelaide Statton.In the series, Houdini, Doyle and Stratton are tasked with the cases that nobody else can solve. It challenges their sense of what is real and what is not. Houdini is a skeptic, while Doyle believes in the unseen. Their diverse viewpoints make solving crime a challenge and often Stratton is put in the middle. The trio will take on cases that involve vampires, ghosts, monsters and poltergeists... or are they a ruse to conceal murder?",https://www.tvmaze.com/shows/3601/houdini-doyle
Geeking Out,2016-07-24,2016-10-02,,,Ended,AMC,"Geeking Out is a 30-minute long talk show that takes a timely look at pop culture through a fanboy lens and features celebrity interviews, discussion and out-of-the-studio segments.",https://www.tvmaze.com/shows/13589/geeking-out
Fear Thy Neighbor,2014-04-14,2024-12-11,7.6,"Action, Crime, Drama",Running,Investigation Discovery,"Fear Thy Neighbor tells the true and disturbing tales of conflicts between neighbors that spiral out of control - often culminating in tragic and violent confrontations in their living rooms, backyards, or driveway. These are the stories of ordinary people from all walks of life who somehow find themselves locked in a vicious standoff with the family that lives on the other side of the fence, across the street or around the corner. What start as minor annoyances - like loud music, a car parked too close, or a dog misbehaving - can quickly escalate. Property lines turn into battle lines, leading to all-out fury, conflict, and even bloodshed.",https://www.tvmaze.com/shows/2422/fear-thy-neighbor
Dallas,1978-04-02,1998-04-24,6.9,"Drama, Family",Ended,CBS,"The world's first mega-soap, and one of the most popular ever produced, Dallas had it all. Beautiful women, expensive cars, and men playing Monopoly with real buildings. Famous for one of the best cliffhangers in TV history, as the world asked ""Who shot J.R.?"" A slow-burner to begin with, Dallas hit its stride in the 2nd season, with long storylines and expert character development. Dallas ruled the airwaves in the 1980's.",https://www.tvmaze.com/shows/863/dallas
Bob ♥ Abishola,2019-09-23,2024-05-06,6.4,"Comedy, Romance",Ended,CBS,"After having a heart attack, a middle-aged sock businessman from Detroit unexpectedly falls for his cardiac nurse, a Nigerian immigrant, and sets his sights on getting her to give him a chance.",https://www.tvmaze.com/shows/42167/bob-abishola
Crystal Lake,,,,Horror,In Development,Peacock,"Prequel series to Friday the 13th, follows a doomed small town where camp counselors come to die.",https://www.tvmaze.com/shows/64960/crystal-lake
Narcos: Mexico,2018-11-16,2021-11-05,7.8,"Action, Crime, Drama",Ended,Netflix,"Narcos: Mexico exploring the origins of the modern drug war by going back to its roots, beginning at a time when the Mexican trafficking world was a loose and disorganized confederation of independent growers and dealers. Witness the rise of the Guadalajara Cartel in the 1980s as Félix Gallardo takes the helm, unifying traffickers in order to build an empire. When DEA agent Kiki Camarena moves his wife and young son from California to Guadalajara to take on a new post, he quickly learns that his assignment will be more challenging than he ever could have imagined. As Kiki garners intelligence on Félix and becomes more entangled in his mission, a tragic chain of events unfold, affecting the drug trade and the war against it for years to come.",https://www.tvmaze.com/shows/37787/narcos-mexico
